neighbourhood_cleansed,neighbourhood_link,crime_rate,median_housing_cost
West Los Angeles,https://www.areavibes.com/los+angeles-ca/west+los+angeles/?ll=34.04324+-118.41527,3028,1069617
Beverlywood,https://www.areavibes.com/los+angeles-ca/west+los+angeles/?ll=34.04529+-118.39312&addr=beverlywood,3028,1069617
Beverly Hills,https://www.areavibes.com/beverly+hills-ca/?ll=34.07923+-118.40243,4874,2000001
Temple City,https://www.areavibes.com/temple+city-ca/?ll=34.10216+-118.05795,1672,732200
Santa Monica,https://www.areavibes.com/santa+monica-ca/?ll=34.02342+-118.48167,5386,1452100
North Hollywood,https://www.areavibes.com/los+angeles-ca/north+hollywood/?ll=34.20039+-118.39206,3059,623486
Del Rey,https://www.areavibes.com/del+rey-ca/?ll=36.65622+-119.59933,1596,177200
Venice,https://www.areavibes.com/los+angeles-ca/venice/?ll=33.98633+-118.46282,5826,1713615
Beverly Grove,https://www.areavibes.com/los+angeles-ca/mid+city+west/?ll=34.07279+-118.36885&addr=beverly+grove,5699,1457400
Westlake,https://www.areavibes.com/los+angeles-ca/westlake/?ll=34.0577+-118.26807,3586,755085
Downtown,https://www.areavibes.com/los+angeles-ca/downtown/?ll=34.04397+-118.25787&addr=downtown+los+angeles,3998,704691
West Hollywood,https://www.areavibes.com/west+hollywood-ca/?ll=34.08827+-118.37183,7550,743700
Fairfax,https://www.areavibes.com/fairfax-ca/?ll=37.98838+-122.59509,722,858500
San Gabriel,https://www.areavibes.com/san+gabriel-ca/?ll=34.09463+-118.09847,2684,712400
Culver City,https://www.areavibes.com/culver+city-ca/?ll=34.00582+-118.39678,6236,920900
Mid-Wilshire,https://www.areavibes.com/los+angeles-ca/mid+wilshire/?ll=34.07715+-118.32385,3618,1204131
Toluca Lake,https://www.areavibes.com/los+angeles-ca/toluca+lake/?ll=34.14901+-118.35335,2923,890544
Long Beach,https://www.areavibes.com/long+beach-ca/?ll=33.77005+-118.19374,3147,584200
Hollywood,https://www.areavibes.com/los+angeles-ca/hollywood/?ll=34.0945+-118.33443,5748,803580
Koreatown,https://www.areavibes.com/los+angeles-ca/mid+wilshire/?ll=34.06493+-118.30227&addr=koreatown,3618,1204131
Westwood,https://www.areavibes.com/westwood-ca/?ll=40.30205+-121.01912&addr=westwood,1596,130700
Torrance,https://www.areavibes.com/torrance-ca/west+torrance/?ll=33.8324+-118.341&addr=torrance,2846,876400
Hollywood Hills West,https://www.areavibes.com/los+angeles-ca/hollywood+hills/?ll=34.11693+-118.36331&addr=hollywood+hills+west,2876,1232129
Century City,https://www.areavibes.com/los+angeles-ca/century+city/?ll=34.05528+-118.41499,3782,1267517
Mid-City,https://www.areavibes.com/los+angeles-ca/pico-robertson/?ll=34.04842+-118.34824&addr=mid-city,2942,1296346
Sherman Oaks,https://www.areavibes.com/los+angeles-ca/studio+city/?ll=34.15083+-118.4519&addr=sherman+oaks,3590,1041634
Rancho Park,https://www.areavibes.com/los+angeles-ca/west+los+angeles/?ll=34.0342+-118.42752&addr=rancho+park,3028,1069617
Hermosa Beach,https://www.areavibes.com/hermosa+beach-ca/?ll=33.86527+-118.39629,3121,1649900
El Sereno,https://www.areavibes.com/los+angeles-ca/el+sereno/?ll=34.08245+-118.179,2185,556110
Pico Rivera,https://www.areavibes.com/pico+rivera-ca/?ll=33.98953+-118.0893,2881,464700
Pico-Robertson,https://www.areavibes.com/los+angeles-ca/pico-robertson/?ll=34.04664+-118.36746,2942,1296346
Echo Park,https://www.areavibes.com/los+angeles-ca/echo+park/?ll=34.0854+-118.24682,3376,848314
Castaic Canyons,https://www.areavibes.com/castaic-ca/?ll=34.47799+-118.63204&addr=castaic,2613,579500
Encino,https://www.areavibes.com/los+angeles-ca/encino/?ll=34.15722+-118.50737,2767,881117
Exposition Park,https://www.areavibes.com/los+angeles-ca/south+los+angeles/?ll=34.0141+-118.29405&addr=exposition+park,4992,469672
Gardena,https://www.areavibes.com/gardena-ca/?ll=33.89442+-118.30753,3794,519000
Compton,https://www.areavibes.com/compton-ca/?ll=33.89405+-118.22747,3813,383500
Hancock Park,https://www.areavibes.com/los+angeles-ca/mid+wilshire/?ll=34.07276+-118.33496&addr=hancock+park,3618,1204131
Arcadia,https://www.areavibes.com/arcadia-ca/?ll=34.13269+-118.03635,3310,1136700
Alhambra,https://www.areavibes.com/alhambra-ca/?ll=34.08357+-118.13644,2765,630200
Signal Hill,https://www.areavibes.com/signal+hill-ca/?ll=33.80343+-118.16977,6913,528300
Brentwood,https://www.areavibes.com/brentwood-ca/?ll=37.93591+-121.71854,2377,610000
Carthay,https://www.areavibes.com/los+angeles-ca/pico-robertson/?ll=34.05798+-118.36954&addr=carthay,2942,1296346
Santa Clarita,https://www.areavibes.com/santa+clarita-ca/?ll=34.39166+-118.54259,1254,564500
East Hollywood,https://www.areavibes.com/los+angeles-ca/mid+wilshire/?ll=34.07985+-118.30134&addr=east+hollywood,3618,1204131
South San Gabriel,https://www.areavibes.com/south+san+gabriel-ca/?ll=34.04779+-118.09568,2799,546400
Altadena,https://www.areavibes.com/altadena-ca/?ll=34.19221+-118.13559,1776,802500
Silver Lake,https://www.areavibes.com/los+angeles-ca/silver+lake/?ll=34.09277+-118.26817,3032,943164
Monrovia,https://www.areavibes.com/monrovia-ca/?ll=34.164+-117.98461,2725,694700
Mar Vista,https://www.areavibes.com/los+angeles-ca/mar+vista/?ll=34.01252+-118.4368,1834,1249943
Hacienda Heights,https://www.areavibes.com/hacienda+heights-ca/?ll=33.99585+-117.97302,2919,622500
Marina del Rey,https://www.areavibes.com/marina+del+rey-ca/?ll=33.97658+-118.45522,998,893100
West Covina,https://www.areavibes.com/west+covina-ca/?ll=34.05594+-117.90993,2712,578800
Hollywood Hills,https://www.areavibes.com/los+angeles-ca/hollywood+hills/?ll=34.11435+-118.35259,2876,1232129
Westchester,https://www.areavibes.com/los+angeles-ca/westchester/?ll=33.95206+-118.40908,6305,1001476
Pasadena,https://www.areavibes.com/pasadena-ca/?ll=34.16059+-118.13959,2670,822100
San Pedro,https://www.areavibes.com/los+angeles-ca/san+pedro/?ll=33.73124+-118.3022,2558,609528
Sun Valley,https://www.areavibes.com/los+angeles-ca/sun+valley/?ll=34.23328+-118.34336,2683,526454
Avocado Heights,https://www.areavibes.com/avocado+heights-ca/?ll=34.03677+-118.00178,3376,532800
Woodland Hills,https://www.areavibes.com/los+angeles-ca/woodland+hills/?ll=34.15737+-118.6105,3033,762283
Burbank,https://www.areavibes.com/burbank-ca/?ll=34.19008+-118.3264,3033,790300
Malibu,https://www.areavibes.com/malibu-ca/?ll=34.03422+-118.77949,4684,2000001
Winnetka,https://www.areavibes.com/los+angeles-ca/winnetka/?ll=34.20713+-118.57098,2457,542476
Florence-Firestone,https://www.areavibes.com/los+angeles-ca/southeast+los+angeles/?ll=33.97855+-118.26914&addr=florence,4564,410964
West Carson,https://www.areavibes.com/west+carson-ca/?ll=33.82314+-118.29369,3184,498400
La Canada Flintridge,https://www.areavibes.com/la+ca%C3%B1ada+flintridge-ca/?ll=34.21091+-118.20013,1936,1643400
Calabasas,https://www.areavibes.com/calabasas-ca/?ll=34.13401+-118.66913,1719,1127500
Tarzana,https://www.areavibes.com/los+angeles-ca/tarzana/?ll=34.15579+-118.55627,2916,696533
Rowland Heights,https://www.areavibes.com/rowland+heights-ca/?ll=33.97031+-117.89057,2978,655400
Glendale,https://www.areavibes.com/glendale-ca/?ll=34.14251+-118.25507,1976,821500
Bel-Air,https://www.areavibes.com/los+angeles-ca/bel+air/?ll=34.10435+-118.46609&addr=bel+air,1352,1880401
Palms,https://www.areavibes.com/los+angeles-ca/palms/?ll=34.02436+-118.40166,2112,987476
South Gate,https://www.areavibes.com/south+gate-ca/?ll=33.94416+-118.19276,3831,438100
Lakewood,https://www.areavibes.com/lakewood-ca/?ll=33.84713+-118.12189,2809,595200
Montebello,https://www.areavibes.com/montebello-ca/?ll=34.01545+-118.11101,3454,519000
